Timestamp,What is your gender?,What is your marital status?,Have you ever failed an academic course/module at university?,"How satisfied are you with your learning environment at the Faculty?
",Are you satisfied with your home environment for studying?,What is your Age?,What is your Academic Year?,What is your degree programme.,Competition with my peers for grades is quite intense,I feel my lecturers are very strict and often point out mistakes in my work,My lecturers expect more from me than I can realistically do.,The unrealistic expectations of my parents stress me out.,"The time allocated for lectures, laboratory sessions, and independent study is enough for me to manage my academic workload effectively.  ",The size of the curriculum (workload) is excessive.,I believe that the amount of work assignments is too much.,I am unable to catch up if I fall behind in my work.,I have enough time to relax after completing my academic work. ,The examination questions are usually difficult.,The allocated examination duration is too short for me to complete my answers properly.,Examination periods are very stressful to me.,I am confident that I will be a successful student. ,I am confident that I will be successful in my future career. ,I find it easy to make academic decisions. ,I fear failing courses/modules this year.,I think that my worry about examinations is weakness of character.,"Even if I pass my exams, I am worried about getting a job"
2/16/2026 14:57:35,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,4,3,3,1,1,1,1,1,5,1,1,1,3,2,5,1,1,2
2/16/2026 14:57:36,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,5,3,2,4,2,1,2,5,3,1,5,1,1,2,4,4,5
2/16/2026 14:57:37,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,4,3,2,3,3,4,4,3,3,2,1,1,1,3,4,3
2/16/2026 14:57:39,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,2,4,4,2,3,3,3,3,2,2,2,2,2,2,3,2,2,2
2/16/2026 14:57:40,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,3,2,2,2,2,2,4,3,3,2,2,2,2,3,3,3
2/16/2026 14:57:41,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
2/16/2026 14:57:50,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2
2/16/2026 14:57:50,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
2/16/2026 14:57:56,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,2,3,3,3,3,4,3,2,3,3,4,1,1,2,2,2,2
2/16/2026 14:58:01,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,3,3,5,3,3,3,3,5,5,4,4,3,2,2,2,2,2
2/16/2026 14:58:05,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,1,1,2,2,2,2,4,2,1,1,4,1,2,2,4,5,1
2/16/2026 14:58:06,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,4,4,4,4,3,3,3,3,3,3,2,2,2,4,4,2,2
2/16/2026 14:58:10,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,3,5,5,5,4,2,3,3,3,2,3,2,1,2,4,3,2,4
2/16/2026 14:58:10,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,1,1,1,2,3,2,2,1,1,2,2,4,2,1,1,2,2
2/16/2026 14:58:11,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,2,3,3,3,3,3,3,3,3,3,3,2,4,2,4,2,4
2/16/2026 14:58:15,Male,• Single,• Once or twice,Satisfied,• Yes,• 20–21,• Year 1,,2,2,2,2,2,3,2,4,2,4,3,3,2,3,4,2,3,2
2/16/2026 14:58:15,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,2,5,1,2,1,4,2,2,2,5,4,3,4,5,4,4
2/16/2026 14:58:15,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,3,4,2,2,1,2,1,1,3,3,1,1,1,2,2,4
2/16/2026 14:58:15,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,1,2,2,2,2,3,4,2,2,2,2,2,2,2,2
2/16/2026 14:58:17,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,4,4,5,2,3,3,3,2,3,2,3,2,2,3,4,4,3
2/16/2026 14:58:18,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,5,3,4,2,1,1,5,1,1,5,5,1,5,1,5,1,4
2/16/2026 14:58:19,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,2,4,2,2,3,2,2,2,4,2,1,1,2,2,4,2,1,2
2/16/2026 14:58:22,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,4,2,2
2/16/2026 14:58:25,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,3,3,4,1,1,2,2,3,3,3,2,2,2,2,2,3
2/16/2026 14:58:26,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/16/2026 14:58:27,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,2,3,3,5,1,3,4,4,4,4,5,2,3,4,5,4,3
2/16/2026 14:58:29,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,3,3,3,4,3,4,2,2,2,2,2,4,4,2,3,3,4,4
2/16/2026 14:58:31,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,4,3,4,3,4,4,4,2,2,2,2,2,2,3,3,2
2/16/2026 14:58:31,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,4,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,2
2/16/2026 14:58:32,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,1,4,5,3,3,4,4,1,3,3,2,1,1,1,4,5,2
2/16/2026 14:58:34,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,3,3,3,2,4,3,1,3,3,3,1,1,3,3,4,5
2/16/2026 14:58:35,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,1,1,3,3,3,3,3,3,3,3,3,3,1,2,3,1,2,5
2/16/2026 14:58:35,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,1,2,1,1,1,1,2,5,4,4,4,1,1,1,1,2,3
2/16/2026 14:58:35,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,4,1,2,1,1,2,2,4,4,1,1,2,2,2,2,1
2/16/2026 14:58:35,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4
2/16/2026 14:58:35,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,2,3,1,4,4,3,3,4,2,3,3,3,3,2,2,2
2/16/2026 14:58:36,Female,• Single,• Never,Neither satisfied nor dissatisfied,• No,• 20–21,• Year 1,,1,1,1,1,5,5,1,1,5,1,5,5,3,4,4,2,4,4
2/16/2026 14:58:36,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,2,1,2,2,4,5,1,2,2,1,1,4,2,1,3,2,4,5
2/16/2026 14:58:36,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,1,3,3,1,5,1,1,1,5,1,2,1,4,3,4,1,2,1
2/16/2026 14:58:39,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,1,2,1,2,2,2,2,2,2,2,1,5,2,4,4,1
2/16/2026 14:58:39,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,1,5,2,2,5,2,5,1,1,2,1,1,1,1,5,1
2/16/2026 14:58:40,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,1,5,3,3,2,1,5,3,2,1,5,1,3,2,4,5,1
2/16/2026 14:58:41,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,2,3,2,1,2,4,2,2,4,2,2,1,4,4,2,2,2
2/16/2026 14:58:42,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,1,1,2,2,3,3,2,2,3,3,1,2,2,2,4,1
2/16/2026 14:58:43,Female,• Single,• Never,Neither satisfied nor dissatisfied,• No,• 20–21,• Year 1,,1,2,4,5,4,1,2,4,5,5,1,2,2,2,1,1,1,5
2/16/2026 14:58:44,Male,• Single,• Never,Dissatisfied,• Yes,• 20–21,• Year 1,,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5
2/16/2026 14:58:46,Male,• Single,• Once or twice,Very satisfied,• Yes,• 20–21,• Year 1,,3,3,1,3,5,3,2,3,2,4,5,1,2,2,5,2,2,4
2/16/2026 14:58:47,Female,• Single,• Never,Very satisfied,• No,• 20–21,• Year 1,,2,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2
2/16/2026 14:58:47,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,3,2,2,2,3,3,3,2,2,2,2,3,2,3,4,2
2/16/2026 14:58:47,Female,• Single,• Once or twice,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,2,4,2,2,2,4,2,4,2,2,3,3,3,4,2
2/16/2026 14:58:48,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,2,4,2,3,2,4,3,5,3,3,2,2,3,4,2,4,2
2/16/2026 14:58:49,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,4,5,1,2,4,5,3,1,2,4,1,2,3,4,5,2
2/16/2026 14:58:50,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,5,5,5,5,2,2,1,5,1,2,2,2,2,2,3,4,4
2/16/2026 14:58:51,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,2,3,3,4,1,2,2,3,3,2,1,1,3,4,4,1,3
2/16/2026 14:58:51,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,3,3,3,5,1,4,4,5,2,4,4,3,1,1,1,5,4,4
2/16/2026 14:58:52,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,1,3,2,3,5,1,1,1,5,1,1,1,5,5,5,5,5,5
2/16/2026 14:58:52,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,4,4,2,3,3,4,1,3,4,4,4,1,4,4,2,5,2
2/16/2026 14:58:53,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,4,4,3,4,4,4,2,4,4,4,4,4,2,4,4,4
2/16/2026 14:58:55,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,1,1,1,2,1,1,3,5,1,3,1,1,1,2,1,1,4
2/16/2026 14:58:58,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,2,5,2,4,3,4,2,2,3,3,1,1,2,2,1,4
2/16/2026 14:58:58,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,4,5,1,2,1,3,3,4,4,2,4,1,1,2,2,2,3
2/16/2026 14:58:59,Female,• Single,• Once or twice,Satisfied,• Yes,• 20–21,• Year 1,,3,3,3,4,3,3,2,4,2,3,4,4,2,2,3,2,2,2
2/16/2026 14:58:59,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,4,4,3,4,4,3,3,3,3,4,3,3,4,4,4,3
2/16/2026 14:58:59,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,4,5
2/16/2026 14:59:01,Female,• Single,• Never,Neither satisfied nor dissatisfied,• No,• 20–21,• Year 1,,2,5,4,5,2,5,4,1,5,1,1,1,1,1,2,1,1,1
2/16/2026 14:59:02,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,3,1,2,2,4,1,3,2,3,4,5,4,2,1,4,2,3
2/16/2026 14:59:02,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,2,3,1,3,4,2,1,2,4,1,2,1,2,2,2,2,2,2
2/16/2026 14:59:03,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,4,3,2,3,3,3,4,4,3,3,1,1,2,2,2,3
2/16/2026 14:59:04,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,3,4,3,2,4,4,2,2,1,2,3,2,2,1,2,4
2/16/2026 14:59:05,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,3,2,4,3,3,2,4,2,2,2,1,2,2,2,2,2
2/16/2026 14:59:06,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2/16/2026 14:59:06,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,2,2,2,3,3,2,2,2,4,1,2,3,2,2,1,1
2/16/2026 14:59:08,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2/16/2026 14:59:09,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,5,5,4,3,4,3,3,4,4,3,2,2,2,1,2,2,4,4
2/16/2026 14:59:09,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,4,4,4,4,2,2,3,3,3,3,4,3,2,2,2,3,2,2
2/16/2026 14:59:10,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,4,4,4,2,3,1,5,2,3,5,2,1,5,1,3,2
2/16/2026 14:59:11,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 4,B.B.A. (Hons) in International Business,4,3,1,3,1,3,5,5,4,4,4,2,1,3,5,5,3,3
2/16/2026 14:59:13,Male,• Single,• Never,Neither satisfied nor dissatisfied,• No,• 20–21,• Year 1,,3,3,3,3,2,3,4,3,5,4,4,2,1,1,2,3,4,5
2/16/2026 14:59:13,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,3,2,4,1,1,3,5,2,1,1,2,2,2,1,1,1
2/16/2026 14:59:15,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,4,5,4,2,2,4,2,4,2,4,2,2,4,2,2,2
2/16/2026 14:59:17,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/16/2026 14:59:21,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,3,5,4,5,1,4,4,4,1,2,2,3,1,1,1,1,4,4
2/16/2026 14:59:21,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2/16/2026 14:59:22,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,3,2,2,4,3,3,3,4,3,2,3,2,2,2,2,3,2
2/16/2026 14:59:23,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,4,3,5,3,4,4,3,4,2,3,2,2,2,4,1,1,4
2/16/2026 14:59:25,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,3,5,3,3,3,3,3,3,3,3,3,4,5,5,3,3
2/16/2026 14:59:26,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,3,2,4,4,4,2,2,2,4,2,2,2,1,1,2,2,2,3
2/16/2026 14:59:27,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,5,5,5,3,3,2,4,5,2,3,2,2,2,3,4,2,3
2/16/2026 14:59:29,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4
2/16/2026 14:59:30,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,4,2,4,2,4,4,1,4,1,2,2,1,1,2,2,1,4
2/16/2026 14:59:31,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,1,1,1,2,2,3,1,1,2,1,4,2,2,4,2,1,4
2/16/2026 14:59:32,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,3,3,2,3,3,4,3,4,2,2,3,3,3,3,3,3,3,3
2/16/2026 14:59:32,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,2,4,2,3,2,4,3,3,3,3,3,3,2,3,4
2/16/2026 14:59:33,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,4,3,3,3,3,2,3,2,2,2,2,3,2,3,3,3,3
2/16/2026 14:59:34,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,4,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1
2/16/2026 14:59:35,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,4,1,5,1,1,4,4,5,2,2,2,2,2,1,4,4,4
2/16/2026 14:59:35,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,4,3,3,4,3,5,3,3,4,1,1,1,1,2,1,1,4
2/16/2026 14:59:36,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,2,3,3,4,4,3,2,4,3,3,4,2,1,3,4,3,3
2/16/2026 14:59:37,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/16/2026 14:59:37,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,4,3,5,1,2,2,2,2,2,2,2,1,1,1,5,2,2
2/16/2026 14:59:38,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,4,4,3,4,2,2,2,4,4,3,3,2,3,3,4,2,3,3
2/16/2026 14:59:39,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,3,5,1,3,3,3,4,3,3,4,1,1,2,3,3,3
2/16/2026 14:59:40,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,2,2,5,3,2,4,4,2,3,2,2,1,1,2,5,4,2
2/16/2026 14:59:40,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,4,3,3,3,2,3,3,3,3,3,3,2,1,1,1,5,4,2
2/16/2026 14:59:42,Male,• Single,• Never,Neither satisfied nor dissatisfied,• No,• 20–21,• Year 1,,2,2,2,2,4,3,2,2,5,1,1,1,2,2,2,1,2,3
2/16/2026 14:59:43,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,2,3,4,5,1,2,3,3,5,5,3,3,4,3,3,4,5
2/16/2026 14:59:45,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,3,5,3,5,2,3,2,5,3,2,1,3,3,4,1,1,3
2/16/2026 14:59:46,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,3,1,3,1,1,1,4,2,2,2,2,2,2,2,2,5,5
2/16/2026 14:59:47,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,3,2,2,2,2,2,2,4,3,3,2,3,3,3,3,3,2
2/16/2026 14:59:53,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,2,3,1,4,1,2,2,1,2,1,1,1,2,1,1,2
2/16/2026 14:59:53,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,5,5,4,3,5,3,3,2,4,3,2,2,3,2,2,2,1,2
2/16/2026 14:59:53,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,3,3,2,3,4,4,2,3,3,2,3,3,3,3,3,3
2/16/2026 14:59:55,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,3,4,4,3,3,3,4,2,2,2,3,2,2,2,2,3,3,2
2/16/2026 14:59:55,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,3,3,2,4,2,2,2,4,2,2,2,5,3,4,5,2,1
2/16/2026 14:59:56,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,4,4,4,4,1,1,3,5,1,3,3,1,1,3,4,3,2
2/16/2026 14:59:56,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3
2/16/2026 14:59:58,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,4,5,4,4,3,3,3,3,3,3,3,2,2,3,3,3,2
2/16/2026 15:00:01,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,4,3,2,3,2,2,4,4,2,4,2,2,3,2,2,2
2/16/2026 15:00:02,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,2,4,2,2,2,4,3,2,2,2,2,2,3,3,2
2/16/2026 15:00:03,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,2,2,2,2,2,5,2,2,1,2,2,3,1,3,4
2/16/2026 15:00:05,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,4,1,4,1,1,3,2,2,4,3,4,1,1,2,2,2,2
2/16/2026 15:00:07,Male,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,3,4,3,3,3,2,4,2,4,2,4,3,1,1,1,2,3,4
2/16/2026 15:00:08,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,3,2,3,2,3,4,4,4,2,2,2,2,2,2,3,2,4
2/16/2026 15:00:08,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,4,4,2,2,3,3,2,3,3,3,1,1,2,3,4,4
2/16/2026 15:00:11,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2/16/2026 15:00:14,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,3,2,3,3,2,2,4,2,3,2,2,2,3,3,3
2/16/2026 15:00:14,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,1,4,1,2,2,3,5,3,2,2,1,1,2,4,3,2
2/16/2026 15:00:19,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,1,2,1,2,2,2,2,3,2,2,3,2,2,2,3,2,2
2/16/2026 15:00:22,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,2,3,3,5,4,2,3,3,4,4,3,2,2,3,3,1,1,2
2/16/2026 15:00:29,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2
2/16/2026 15:00:30,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,1,3,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3
2/16/2026 15:00:40,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,4,1,5,5,1,1,1,5,1,1,2,2,2,5,1,2,4
2/16/2026 15:00:40,Female,• Single,• Never,Satisfied,• No,• 20–21,• Year 1,,3,2,3,3,4,3,3,2,1,2,3,2,1,1,3,3,4,3
2/16/2026 15:00:46,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,3,5,3,3,3,5,3,3,3,3,1,1,2,2,3,4
2/16/2026 15:00:47,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,5,5,3,3,4,1,5,2,1,4,1,1,1,1,4,4
2/16/2026 15:00:48,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,4,4,2,3,4,3,4,3,3,2,2,2,3,4,3,4
2/16/2026 15:00:49,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,5,5,3,2,4,3,2,2,3,4,2,2,4,3,3,4
2/16/2026 15:00:56,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3
2/16/2026 15:01:05,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,5,3,5,4,3,4,5,3,3,3,4,1,1,2,4,5,1
2/16/2026 15:01:10,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,3,2,3,2,3,3,3,2,3,2,1,2,1,3,3,3,2
2/16/2026 15:01:14,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,4,4,5,2,3,4,3,2,4,2,2,1,1,2,1,2,4
2/16/2026 15:01:20,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,3,4,2,5,2,4,3,4,2,3,3,3,1,1,2,5,3,4
2/16/2026 15:01:27,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,2,4,1,3,1,1,1,5,1,1,1,3,3,3,3,1,1
2/16/2026 15:01:27,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,2,4,2,2,1,2,5,5,2,1,2,2,4,2,2,2
2/16/2026 15:01:28,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,2,2,4,4,3,3,3,2,2,1,1,3,3,3,3,3,3
2/16/2026 15:01:30,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,4,1,3,1,1,1,5,1,1,1,3,3,3,3,1,1
2/16/2026 15:01:58,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,4,5,3,3,3,3,3,3,3,2,2,2,4,3,1,3
2/16/2026 15:01:58,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 1,,2,3,4,2,1,3,2,2,3,4,3,3,4,2,3,4,4,4
2/16/2026 15:02:16,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,3,2,4,3,3,3,2,2,2,2,1,2,1,2,2,2,2
2/16/2026 15:03:34,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,2,4,3,3,4,4,3,3,3,3,2,1,2,5,3,3
2/16/2026 15:03:47,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,3,4,2,4,3,3,4,3,4,3,3,2,2,1,2,5,3,3
2/16/2026 15:05:54,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,1,1,1,1,1,3,4,4,1,2,2,3,3,4,2,2,2
2/16/2026 22:32:25,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,5,1,5,3,2,1,1,3,1,2,1,3,2,2,1,1,1
2/18/2026 10:59:53,Female,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,2,2,5,2,1,4,5,3,3,4,1,1,1,2,5,5,2
2/19/2026 12:13:12,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,3,2,4
2/19/2026 12:13:20,Male,• Divorced,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,2,1,1,2,2,2,2,1,5,3,3,4,5,1,1,2,2,3
2/19/2026 12:13:28,Male,• Single,• Never,Very satisfied,• Yes,• 20–21,• Year 1,,1,2,2,2,2,2,2,3,3,3,3,3,2,2,4,3,2,3
2/19/2026 12:13:34,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 1,,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1
